video_id,comment,video_published_at,likes,views,subscriptions,date,slang_comment,cleaned_comment,category,subcategory,sentiment_category
AkTOFQmsb_U,👍👍👍👏,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,👍👍👍👏,,General,unknown,neutral
AkTOFQmsb_U,This is best then ufc,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,This is best then ufc,best ufc,General,unknown,positive
AkTOFQmsb_U,On a big ole 4fitty 🔥,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,On a big ole 4fitty 🔥,big ole fitty,General,unknown,neutral
AkTOFQmsb_U,That should not be possible,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,That should not be possible,possible,General,unknown,neutral
AkTOFQmsb_U,"Just once, to know how that feels........",2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,"Just once, to know how that feels........",know feels,General,unknown,neutral
AkTOFQmsb_U,O bhai ❤,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,O bhai ❤,bhai,General,unknown,neutral
AkTOFQmsb_U,Waw😮😮😮😮😮,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,Waw😮😮😮😮😮,waw,General,unknown,neutral
AkTOFQmsb_U,That’s 1 sick puppy 😮,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,That’s 1 sick puppy 😮,thats sick puppy,General,unknown,negative
AkTOFQmsb_U,Huku bongo utaskia askari anasema uvae koti kwa usalana sasa mbona huyu Hana jacket zito na ni hatari anachokifanya kitaalamu inakuwaje hii kwa mwenye kufaham,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,Huku bongo utaskia askari anasema uvae koti kwa usalana sasa mbona huyu Hana jacket zito na ni hatari anachokifanya kitaalamu inakuwaje hii kwa mwenye kufaham,huku bongo utaskia askari anasema uvae koti kwa usalana sasa mbona huyu hana jacket zito na ni hatari anachokifanya kitaalamu inakuwaje hii kwa mwenye kufaham,General,unknown,neutral
AkTOFQmsb_U,real jumb,2024-05-14T19:00:09Z,405515,11971242,3430000,May-24,real jumb,real jumb,General,unknown,positive
